Wordtris,Spectrum Holobyte,01/11/1992,Game Boy
"Incredible Crash Dummies, The",LJN,01/11/1992,Game Boy
T2: The Arcade Game,LJN,01/11/1992,Game Boy
Star Wars,Nintendo,01/11/1992,Game Boy
Super Mario Land 2: 6 Golden Coins,Nintendo,01/11/1992,Game Boy
Mr. Do!,Ocean,01/11/1992,Game Boy
"Ren & Stimpy Show: Space Cadet Adventures, The",THQ,01/11/1992,Game Boy
Super Off Road,Tradewest,01/11/1992,Game Boy
Centipede,Accolade,01/12/1992,Game Boy
Universal Soldier,Accolade,01/12/1992,Game Boy
Best of the Best: Championship Karate,Electro Brain,01/12/1992,Game Boy
Mega Man III,Capcom,01/12/1992,Game Boy
Tale Spin,Capcom,01/12/1992,Game Boy
"Humans, The",Gametek,01/12/1992,Game Boy
Avenging Spirit,Jaleco,01/12/1992,Game Boy
Dr. Franken,Kemco,01/12/1992,Game Boy
Battleship,Mindscape,01/12/1992,Game Boy
Darkman,Ocean,01/12/1992,Game Boy
Bonk's Adventure ,Hudson Soft,01/12/1992,Game Boy
Megalit,Takara,01/12/1992,Game Boy
Krusty's Funhouse,Acclaim,01/01/1993,Game Boy
"Empire Strikes Back , The",Capcom,01/01/1993,Game Boy
Spot's Cool Adventure,Virgin Interactive,01/01/1993,Game Boy
Top Gun: Guts & Glory,Konami,01/01/1993,Game Boy
Alien3,LJN,01/01/1993,Game Boy
Race Drivin',THQ,01/01/1993,Game Boy
Darkwing Duck,Capcom,01/02/1993,Game Boy
"Little Mermaid, The",Nintendo,01/02/1993,Game Boy
Adventure Island II: Aliens in Paradise ,Hudson Soft,01/02/1993,Game Boy
"Flintstones: King Rock Treasure Island, The ",Taito Software,01/02/1993,Game Boy
Sumo Fighter,DTMC,01/03/1993,Game Boy
Tumble Pop,Data East,01/03/1993,Game Boy
Kid Dracula,Konami,01/03/1993,Game Boy
Milon's Secret Castle ,Hudson Soft,01/03/1993,Game Boy
Ninja Boy 2,Culture Brain,01/04/1993,Game Boy
"New Chessmaster, The",Hi-Tech,01/04/1993,Game Boy
Great Greed,Namco,01/04/1993,Game Boy
Lethal Weapon,Ocean,01/04/1993,Game Boy
Pyramids of Ra ,Matchbox Toys,01/04/1993,Game Boy
Top Rank Tennis,Nintendo,01/05/1993,Game Boy
Star Trek: The Next Generation,Absolute,01/06/1993,Game Boy
Star Hawk,Accolade,01/06/1993,Game Boy
Joe & Mac,Data East,01/06/1993,Game Boy
Robin Hood: Prince of Thieves ,Virgin Interactive,01/06/1993,Game Boy
Raging Fighter,Konami,01/06/1993,Game Boy
F-15 Strike Eagle,Microprose,01/06/1993,Game Boy
Cool World,Ocean,01/06/1993,Game Boy
Titus the Fox,Titus,01/06/1993,Game Boy
Battletoads in Ragnarok's World,Tradewest,01/06/1993,Game Boy
Muhammad Ali Heavyweight Boxing ,Virgin Interactive,01/07/1993,Game Boy
Spider-Man 3: Invasion of the Spider Slayers,LJN,01/07/1993,Game Boy
"Addams Family: Pugsley's Scavenger Hunt, The",Ocean,01/07/1993,Game Boy
Felix the Cat ,Hudson Soft,01/07/1993,Game Boy
Bubble Bobble: Part 2 ,Taito Software,01/07/1993,Game Boy
Speedy Gonzales,Sunsoft,01/07/1993,Game Boy
Nigel Mansell's World Championship Racing,Gametek,01/08/1993,Game Boy
Pinball Dreams,Gametek,01/08/1993,Game Boy
Tesserae,Gametek,01/08/1993,Game Boy
4-in-1 Funpak: Volume 2,Interplay,01/08/1993,Game Boy
Goal!,Jaleco,01/08/1993,Game Boy
"Legend of Zelda: Link's Awakening, The",Nintendo,01/08/1993,Game Boy
Jurassic Park,Ocean,01/08/1993,Game Boy
Final Fantasy Legend III ,Square Soft,01/08/1993,Game Boy
Mortal Kombat,Acclaim,01/09/1993,Game Boy
Bram Stoker's Dracula,Sony Imagesoft,01/09/1993,Game Boy
WWF King of the Ring,LJN,01/09/1993,Game Boy
Popeye II,Activision,01/10/1993,Game Boy
"Real Ghostbusters , The",Activision,01/10/1993,Game Boy
Sports Illustrated: Championship Football & Baseball,Malibu Games,01/10/1993,Game Boy
Tom & Jerry: Frantic Antics,Hi-Tech,01/10/1993,Game Boy
We're Back!: A Dinosaur's Story,Hi-Tech,01/10/1993,Game Boy
Gear Works,Sony Imagesoft,01/10/1993,Game Boy
Last Action Hero,Sony Imagesoft,01/10/1993,Game Boy
Ms. Pac Man,Namco,01/10/1993,Game Boy
Buster Bros. ,Hudson Soft,01/10/1993,Game Boy
"Ren & Stimpy Show: Veediots!, The",THQ,01/10/1993,Game Boy
Alien vs. Predator: The Last of His Clan,Activision,01/11/1993,Game Boy
Panel Action Bingo,FCI,01/11/1993,Game Boy
Batman: The Animated Series,Konami,01/11/1993,Game Boy
Teenage Mutant Ninja Turtles III: Radical Rescue,Konami,01/11/1993,Game Boy
Tiny Toon Adventures 2: Montana's Movie Madness,Konami,01/11/1993,Game Boy
NFL Quarterback Club,LJN,01/11/1993,Game Boy
Championship Pool,Mindscape,01/11/1993,Game Boy
DuckTales 2,Nintendo,01/11/1993,Game Boy
Kirby's Pinball Land,Nintendo,01/11/1993,Game Boy
Wayne's World,THQ,01/11/1993,Game Boy
Mega Man IV,Capcom,01/12/1993,Game Boy
Chuck Rock,Sony Imagesoft,01/12/1993,Game Boy
Cliffhanger,Sony Imagesoft,01/12/1993,Game Boy
Spider-Man & X-Men: Arcade's Revenge,LJN,01/12/1993,Game Boy
Tetris 2,Nintendo,01/12/1993,Game Boy
F1 Pole Position ,UBI Soft,01/12/1993,Game Boy
Battletoads & Double Dragon: The Ultimate Team,Tradewest,01/12/1993,Game Boy
Riddick Bowe Boxing,Extreme,01/01/1994,Game Boy
Winter Olympic Games,US Gold,01/01/1994,Game Boy
Black Bass Lure Fishing,Hot-B,01/01/1994,Game Boy
Super Chase HQ ,Taito Software,01/01/1994,Game Boy
"Simpsons: Bart & the Beanstalk, The",Acclaim,01/02/1994,Game Boy
WCW: The Main Event,FCI,01/02/1994,Game Boy
Total Carnage,Malibu Games,01/02/1994,Game Boy
Alfred Chicken,Mindscape,01/02/1994,Game Boy
Captain America and the Avengers,Mindscape,01/02/1994,Game Boy
Wario Land: Super Mario Land 3,Nintendo,01/02/1994,Game Boy
Dennis the Menace,Ocean,01/02/1994,Game Boy
Ultima: Runes of Virtue II,FCI,01/03/1994,Game Boy
Super Battletank,Absolute,01/04/1994,Game Boy
Sports Illustrated for Kids: The Ultimate Triple Dare,Malibu Games,01/04/1994,Game Boy
